[-0.0010872254645244994, -0.0003509771927797667]
[-0.000439003351421996, -0.00036466837079363046]
[-0.0004575381172526871, -0.00046935652906832104]
[-0.0010557184170807143, -0.0004460127246913581]
[-0.0003377889491208985, 0.0003405497543554903]
[-0.0011446846379709052, 0.0003298745749890919]
[-0.0009162023156365495, 0.0006484168398689094]
[-0.0005701330963804041, 0.0006466936822721245]
[-0.0011846185065791381, -4.3111264463324694e-05]
[-0.0002819399672837064, -5.958237283149037e-05]
[-0.0007093671719869271, -0.0005560201851646518]
[-0.0007600437558126505, -0.000538945730464313]
[-0.0002675670236386707, 5.246580806195222e-06]
[-0.001161406640963869, 4.064796821801053e-06]
[-0.0006088820457837985, 0.0006421526265716349]
[-0.0008262484653423219, 0.0006399098992658364]
[-0.0011150203461180452, 0.00027592906854664867]
[-0.00029440242263389926, 0.00026034206814956606]
[-0.0009506433390287228, -0.0004596566558620063]
[-0.0004733412106797952, -0.000452563848244103]
[-0.00036307821361758474, -0.0002909352615807492]
[-0.0010190580671670113, -0.0002842224310215524]
[-0.00035976845233498533, 0.0004682045502300558]
[-0.0010268728273050698, 0.0004662091765860188]
[-0.0009045781425050803, 0.000508965965201974]
[-0.00045187365246185385, 0.0004977990075677452]
[-0.0010930241797631468, -0.00022203435606915622]
[-0.0002828744729653221, -0.0002258246279509546]
[-0.000573224442042719, -0.00046300019339129417]
[-0.0007670389659822918, -0.0004516025782623778]
[-0.0002407399400150556, 0.00019031114755227452]
[-0.0011001535575353993, 0.00018866985991844443]
[-0.0006239945147206716, 0.0005917178691938058]
[-0.0006849665187534798, 0.0005873791013789736]
[-0.0010863036426918549, 7.484426628773244e-05]
[-0.00023926050518463526, 6.20556710915765e-05]
[-0.0008134871124327175, -0.00046977792921820694]
[-0.0004878082007271911, -0.00045739210791839735]
[-0.00027716968224344996, -0.00010048750285751584]
[-0.001020294693102053, -0.00010226068562596557]
[-0.00036301634378488323, 0.0005104815517896558]
[-0.0009044602131336732, 0.0005135629416459439]
[-0.0009319491732407981, 0.00033674318590483365]
[-0.00034265122137105974, 0.00031886778774289914]
[-0.0009949901516040638, -0.00032358574375712656]
[-0.0002684279900670439, -0.0003133428276868022]
[-0.00044275437138260876, -0.00031591463319902147]
[-0.0008129046963469555, -0.0003185414519137897]
[-0.00020054444502115576, 0.0003029299687641318]
[-0.0010309556675203169, 0.00031204250215291496]
[-0.0006794807637835326, 0.00048713016720750013]
[-0.0005457654219572228, 0.00046888361261924333]
[-0.0010530628593637958, -8.26586374862992e-05]
[-0.00017243538037481354, -7.643064639351049e-05]
[-0.0006710146579851639, -0.00039763063205067173]
[-0.0005437949181823082, -0.0004015995631760916]
[-0.0001800256160640057, 4.2878583994265806e-05]
[-0.0010195618239549065, 5.505986160264653e-05]
[-0.0004079142914347744, 0.0004896292240264555]
[-0.0007717402264460008, 0.0004752222017836358]
[-0.0009663859207833525, 0.00017016302921452064]
[-0.0002208549155388595, 0.000171962517713814]
[-0.0008787961604661554, -0.0003332497200115858]
[-0.0002957711081233161, -0.00033844327226761894]
[-0.0002975282901142573, -0.00018519841586017716]
[-0.0008721853568081361, -0.00017363062022368592]
[-0.00019901062629079647, 0.0003564930037696229]
[-0.000940269079215017, 0.00034860161087715835]
[-0.0007613067119894013, 0.0003549576735003765]
[-0.00038776221398079125, 0.00035311258144794105]
[-0.0009936442061834194, -0.00015693641209441056]
[-0.00014142697613472865, -0.00016251518881921223]
[-0.0005054805567887288, -0.0003132970744864627]
[-0.00063433066492731, -0.00030570368132298853]
[-0.00011121431183641617, 0.0001413571704734773]
[-0.0009933062384891445, 0.00014062473657172614]
[-0.0005008770053220313, 0.0004194782472912856]
[-0.0006109278049434841, 0.0004154171239417609]
[-0.0009762152815367964, 6.460607125755025e-05]
[-0.00012071085618103883, 6.000650872967084e-05]
[-0.0007299698993243064, -0.00031007940110217014]
[-0.0003783464991713448, -0.00030857912456927483]
[-0.0001624124500284596, -8.045960256836127e-05]
[-0.0009122825027451653, -7.531205115357542e-05]
[-0.0002629667975241057, 0.00035359018721917157]
[-0.0008133197407301229, 0.0003487720645635531]
[-0.0008309759161900521, 0.00025543635177109614]
[-0.00023002101933017327, 0.0002532605740232091]
[-0.0008953852264682316, -0.00018825202819361397]
[-0.0001791766779602466, -0.00019318340464064]
[-0.00032640426999999694, -0.00023716645461535624]
[-0.0007219148907630646, -0.0002287234383445691]
[-0.00011496171098518415, 0.0001895329392168632]
[-0.0009280915714618976, 0.00018498273796893616]
[-0.0006025077924897287, 0.00035507189702330827]
[-0.00042558386947169624, 0.0003563104213027343]
[-0.0009482471765679956, 2.3912169107020986e-06]
[-9.065841382671636e-05, -7.515760379384062e-06]
[-0.0005433994144633282, -0.0002829831633575086]
[-0.00048018062483670687, -0.00027424570504352985]
[-9.317628531635425e-05, -1.1185584871620247e-05]
[-0.0009190162448866057, -1.5066304509925299e-05]
[-0.00035940282034035986, 0.0003367344559039795]
[-0.0006392431772096474, 0.0003414946056363305]
[-0.0008727963168827235, 0.00019320347947771044]
[-0.00012977079771120392, 0.00018108055649940225]
[-0.0007404584610483655, -0.00021100684005914694]
[-0.00025838622987364723, -0.00020451527573273065]
[-0.0001931658862725505, -0.00017931727282577414]
[-0.0007902099626623804, -0.00018265291912866743]
[-0.0001715057302736911, 0.00021378965005307282]
[-0.0008010138365502073, 0.00022113245387797575]
[-0.0006939117579296827, 0.0003197829121685883]
[-0.00027332034411392536, 0.0003086752212705726]
[-0.0008549139746942824, -5.299563438604382e-05]
[-0.00011814368043777668, -5.021063999410824e-05]
[-0.00037335255720111205, -0.00026053501997169715]
[-0.0005826903807821526, -0.00026368338394289204]
[-8.801907295469258e-05, 3.304922893535012e-05]
[-0.0008609576008450359, 4.116434423173665e-05]
[-0.00046714887383011994, 0.00034236800690633923]
[-0.000467399606749859, 0.0003350598365699439]
[-0.0008532729145372397, 0.00013309130409966397]
[-9.265233752303592e-05, 0.00013200852306177735]
[-0.00057007353812083, -0.0002320090511229722]
[-0.0003595741401376251, -0.00023522299897948962]
[-0.0001232924563803195, -0.00014218727969184108]
[-0.0008035690807916274, -0.00013551004483008944]
[-0.0002597307054297282, 0.00025724492078468136]
[-0.0006459338414437354, 0.00025533454340625344]
[-0.0007399371951165856, 0.0002831613162583499]
[-0.00017792328375315636, 0.00027916331369528397]
[-0.0007186896467823722, -0.00010800947125316762]
[-0.00018517830047293238, -0.00011120084311050382]
[-0.0002543280828148642, -0.0002534068921730137]
[-0.0006505856108308811, -0.00025015039089326674]
[-0.00012894954963810212, 9.606107024995314e-05]
[-0.0007519880115463007, 9.959906006948294e-05]
[-0.0005535833240315827, 0.00034789630990852277]
[-0.00033615232903747017, 0.0003425722159049946]
[-0.0007737917989625309, 6.662281602087816e-05]
[-0.00010491204065010695, 6.392384343489876e-05]
[-0.0004301360911484059, -0.0002654977742809761]
[-0.0004519876727914346, -0.00026682865528793176]
[-0.00010489221727877363, -8.608203146376336e-05]
[-0.0007549919853265252, -7.849999172676592e-05]
[-0.0003530279179716489, 0.0003078443814943724]
[-0.0005095135982485094, 0.00030283684667049837]
[-0.0007222140780541453, 0.00023240684031794467]
[-0.00013222178990712763, 0.00023088770110964163]
[-0.000589345949042086, -0.0001769456862162344]
[-0.0002686715137351081, -0.0001828479741216582]
[-0.00018266911871300806, -0.0002293948880814356]
[-0.0006587003160513083, -0.00022013929029873758]
[-0.00019760133061158536, 0.0001782315456127087]
[-0.0006394660574932376, 0.00017473984136295861]
